_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
711,710,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202070,MUARA BATANG GADIS,2006,,,,5,
712,711,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202080,SIABU,2006,,,,,
713,712,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202081,BUKIT MALINTANG,2006,,,,4,
714,713,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1203010,BATANG ANGKOLA,2006,,,,,
715,714,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1203011,SAYUR MATINGGI,2006,,,,,
716,715,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1203070,ANGKOLA TIMUR,2006,,,,,
717,716,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1203080,ANGKOLA SELATAN,2006,,,,,
718,717,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1203090,ANGKOLA BARAT,2006,,,,13,
719,718,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1203100,BATANG TORU,2006,,,,,
720,719,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1203101,MARANCAR,2006,,,,,
721,720,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1203110,SIPIROK,2006,,,,,
722,721,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1203120,ARSE,2006,,,,,
723,722,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1203160,SAIPAR DOLOK HOLE,2006,,,,1,
724,723,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1203161,AEK BILAH,2006,,,,,
725,724,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204010,PINANG SORI,2006,,,,1,
726,725,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204011,BADIRI,2006,,,,,
727,726,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204020,SIBABANGUN,2006,,,,,
728,727,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204030,PANDAN,2006,,,,,
729,728,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204031,TUKKA,2006,,,,,
730,729,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204040,TAPIAN NAULI,2006,,,,2,
731,730,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204041,SITAHUIS,2006,,,,,
732,731,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204050,KOLANG,2006,,,,5,
733,732,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204060,SORKAM,2006,,,,,
734,733,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204061,SORKAM BARAT,2006,,,,,
735,734,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204070,BARUS,2006,,,,,
736,735,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204071,SOSOR GADONG,2006,,,,10,
737,736,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204072,ANDAM DEWI,2006,,,,,
738,737,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1204080,MANDUAMAS,2006,,,,4,
